firm_id,name,family_office_confirmed,classification,classification_evidence,evidence_class,evidence_class_detail,description,description_source,description_confidence,description_evidence_span,investment_thesis,investment_thesis_source,investment_thesis_confidence,sectors,sectors_source,aum,aum_source,aum_confidence,hq_city,hq_state,hq_country,domain,website,firm_email,firm_email_checked_at,firm_email_evidence_span,firm_phone,firm_phone_checked_at,firm_phone_evidence_span,discovery_source,discovery_url,discovery_method,contact_actionability,principal_1_name,principal_1_title,principal_1_email,principal_1_phone,principal_1_linkedin,principal_2_name,principal_2_title,principal_2_email,principal_2_phone,principal_2_linkedin,signal_1,signal_1_source,signal_2,signal_2_source,blind_spots
xception-family-office,XCEPTION FAMILY OFFICE,Yes,Multi-Family Office,Affirmative multi-family language found: 'tion.\n+ More About Us\nOur Expertise\nOur Multi-Family Office Services\nPublic Markets Investing\nPriva',,,"Xception Family Office was established to serve select families that have amassed substantial wealth but not enough to effectively amortize the cost of setting up and maintaining their own family office. We’re not guided by sales or asset gathering goals, allowing us to work with a limited number of clients with quality and personalized attention.",https://xceptionfamilyoffice.com,Medium,"nt Portal A Trusted Partner to Families with Complex Wealth Xception Family Office was established to serve select families that have amassed substantial wealth but not enough to effectively amortize the cost of setting up and maintaining their own family office. We’re not guided by sales or asset gathering goals, allowing us to work with a limited number of clients with quality and personalized attention. + More About Us A Trusted Partner to Families with Complex ",,,Could not verify,,,"$189,340,109 (Regulatory AUM per Form ADV Item 5.F, reporting date 05/27/2026; 28 total accounts)",https://adviserinfo.sec.gov/firm/summary/338122,High,ATLANTA,GA,United States,xceptionfamilyoffice.com,https://xceptionfamilyoffice.com,,,,404-524-7900,2026-07-26,404-524-7900,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/338122,"SEC Form ADV bulk roster, CRD 338122",Named principal + firm-level contact,CORT ALAN HABER,CCO,,,,,,,,,Form ADV amendment filed 05/27/2026,https://reports.adviserinfo.sec.gov/reports/ADV/338122/PDF/338122.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 1 page(s) at https://xceptionfamilyoffice.com, LLM extraction filled: description. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
destiny-family-office,DESTINY FAMILY OFFICE,Yes,Subtype unconfirmed,"RECLASSIFIED 2026-07-26 (systemic evidence audit): the stored 'multi-family office' evidence was the headline of a blog article on the firm's own site ('Read More -> 05/08/2026 -> Wealth of Ideas -> The Rise of Multi Family Offices: Independence, Complexity, and Sophistication') — a quoted article title about the industry, not the firm describing itself. A second, later passage on the same page describes the founder's broader group of entities as 'comprised of two independent RIAs, a multi-family office, multiple wealth management firms...' — plausibly self-referential given the firm's name, but it describes a bundle of businesses collectively rather than making a clean first-person claim about this specific entity, so it is not relied on to assert MFO subtype either. Downgraded to Subtype unconfirmed; family-office status itself remains supported (see evidence_class_detail).",D,"First-party website self-description: legal name 'Destiny Family Office', and the firm's own site describes its founder as having built an organization 'comprised of two independent RIAs, a multi-family office, multiple wealth management firms...' — affirms family-office positioning but does not cleanly identify which specific entity in that group the 'multi-family office' phrase refers to.",,,Could not verify,,,,Could not verify,,,"$605,068,786 (Regulatory AUM per Form ADV Item 5.F, reporting date 06/19/2026; 294 total accounts)",https://adviserinfo.sec.gov/firm/summary/338015,High,TAVARES,FL,United States,www.Destinyfamilyoffice.com,https://www.Destinyfamilyoffice.com,,,,844-357-1120,2026-07-26,844-357-1120,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/338015,"SEC Form ADV bulk roster, CRD 338015",Named principal + firm-level contact,THOMAS HUEY RUGGIE,MANAGING MEMBER/CHIEF COMPLIANCE OFFICER,,,,AUDREY MARIE MANCUSO,MEMBER,,,,Form ADV amendment filed 06/19/2026,https://reports.adviserinfo.sec.gov/reports/ADV/338015/PDF/338015.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 3 page(s) at https://www.Destinyfamilyoffice.com, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
pulliam-family-office-llc,"PULLIAM FAMILY OFFICE, LLC",Yes,Multi-Family Office,Affirmative multi-family language found: 'd your family.\nWho We Work With Pulliam works with approximately 40 families in total on bundled and unbundled plans',,,,,Could not verify,,,,Could not verify,,,"$141,743,358 (Regulatory AUM per Form ADV Item 5.F, reporting date 05/05/2026; 215 total accounts)",https://adviserinfo.sec.gov/firm/summary/338839,High,CRESTED BUTTE,CO,United States,www.pulliamfamilyoffice.com,https://www.pulliamfamilyoffice.com/,admin@pulliamfamilyoffice.com,2026-07-26,admin@pulliamfamilyoffice.com,972-947-9400,2026-07-26,972-947-9400,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/338839,"SEC Form ADV bulk roster, CRD 338839",Named principal + firm-level contact,John Michael Pulliam,"FOUNDER, MANAGING DIRECTOR, CHIEF COMPLIANCE OFFICER",,,,,,,,,Form ADV amendment filed 05/05/2026,https://reports.adviserinfo.sec.gov/reports/ADV/338839/PDF/338839.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 2 page(s) at https://www.pulliamfamilyoffice.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
pointone-family-office,POINTONE FAMILY OFFICE,Yes,Multi-Family Office,Affirmative multi-family language found: '-->\nPointOne Family Office | Boutique Multi-Family Office\ntop of page\nHome About Leadership Priva',,,,,Could not verify,,,,Could not verify,,,"$327,091,481 (Regulatory AUM per Form ADV Item 5.F, reporting date 04/10/2026; 227 total accounts)",https://adviserinfo.sec.gov/firm/summary/338563,High,MANHATTAN BEACH,CA,United States,p1fo.com,https://p1fo.com/,info@p1fo.com,2026-07-26,info@p1fo.com,(310) 737-2637,2026-07-26,(310) 737-2637,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/338563,"SEC Form ADV bulk roster, CRD 338563",Named principal + firm-level contact,Thomas Scoles McGuinness,CHIEF COMPLIANCE OFFICER,,,,,,,,,Form ADV amendment filed 04/10/2026,https://reports.adviserinfo.sec.gov/reports/ADV/338563/PDF/338563.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 3 page(s) at https://p1fo.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
jarrow-capital,Jarrow Capital,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q125550072 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,,,,www.jarrowcapital.com,https://www.jarrowcapital.com/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q125550072,"Wikidata SPARQL, item Q125550072",No reachable contact,,,,,,,,,,,,,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): matched https://www.jarrowcapital.com/ but re-fetch for extraction failed. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
revisio-family-office,Revisio Family Office,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q116868880 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Wiesbaden,,Germany,revisio-family.de,https://revisio-family.de,info@revisio-family.de,2026-07-26,info@revisio-family.de,,,,Wikidata,http://www.wikidata.org/entity/Q116868880,"Wikidata SPARQL, item Q116868880",Firm-level contact only,,,,,,,,,,,,,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at https://revisio-family.de, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
redwood-holdings,Redwood Holdings,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q127608472 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,"Washington, D.C.",,United States,www.redwoodholdings.net,https://www.redwoodholdings.net/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q127608472,"Wikidata SPARQL, item Q127608472",No reachable contact,,,,,,,,,,,Firm founded 2006 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q127608472,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at https://www.redwoodholdings.net/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
bancard-group,Bancard Group,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q29954162 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Santiago,,Chile,,,,,,,,,Wikidata,http://www.wikidata.org/entity/Q29954162,"Wikidata SPARQL, item Q29954162","Named principal, no contact",Sebastián Piñera,Founder (Wikidata P112),,,,,,,,,,,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Website domain guess: tried ['bancard.com', 'bancard.net', 'bancard.org']; none matched the firm name, no website enrichment run. Web search entity resolution: resolved=NONE; 0 source(s) fetched; filled: nothing. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
prime-opportunities-investment-group,Prime Opportunities Investment Group,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q54723180 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Los Angeles,,United States,www.primeopp.com,http://www.primeopp.com/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q54723180,"Wikidata SPARQL, item Q54723180",No reachable contact,,,,,,,,,,,,,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at http://www.primeopp.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
166-2nd-financial-services,166 2nd Financial Services,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q113288804 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,New York City,,United States,,,,,,,,,Wikidata,http://www.wikidata.org/entity/Q113288804,"Wikidata SPARQL, item Q113288804","Named principal, no contact",Adam Neumann,Chief Executive Officer (Wikidata P169),,,,Rebekah Neumann,Founder (Wikidata P112),,,,Firm founded 2019 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q113288804,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Website domain guess: tried ['1662ndfinancialservices.com', '1662ndfinancialservices.net', '1662ndfinancialservices.org']; none matched the firm name, no website enrichment run. Web search entity resolution: resolved=NONE; 0 source(s) fetched; filled: nothing. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred. NOTE: this item's P169/P112 claims name Adam Neumann and Rebekah Neumann (the WeWork founders) as CEO/founders of a firm called '166 2nd Financial Services' — an unusual enough pairing on a small, obscure Wikidata item that it reads as plausible vandalism or a joke edit, not fact-checked against a second source in this pass. Flagged rather than silently trusted."
korys,Korys,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q115271963 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Halle,,Belgium,www.korys.be,https://www.korys.be/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q115271963,"Wikidata SPARQL, item Q115271963",No reachable contact,,,,,,,,,,,Firm founded 2012 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q115271963,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 3 page(s) at https://www.korys.be/, LLM extraction filled: hq_country. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
diethelm-keller-holding,Diethelm Keller Holding,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q119522666 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Zurich,,Switzerland,,,,,,,,,Wikidata,http://www.wikidata.org/entity/Q119522666,"Wikidata SPARQL, item Q119522666",No reachable contact,,,,,,,,,,,,,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Website domain guess: tried ['diethelmkeller.com', 'diethelmkeller.net', 'diethelmkeller.org']; none matched the firm name, no website enrichment run. Web search entity resolution: resolved=NONE; 0 source(s) fetched; filled: nothing. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
fundus-heritage-ventures,Fundus Heritage Ventures,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q135152617 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Monte Carlo,,Monaco,fundusheritage.com,https://fundusheritage.com,,,,,,,Wikidata,http://www.wikidata.org/entity/Q135152617,"Wikidata SPARQL, item Q135152617",No reachable contact,,,,,,,,,,,Firm founded 1923 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q135152617,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at https://fundusheritage.com, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
blanck-capital,Blanck Capital,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q140078138 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,New York,,,blanckcapital.com,https://blanckcapital.com/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q140078138,"Wikidata SPARQL, item Q140078138","Named principal, no contact",Jason Blanck,Founder (Wikidata P112),,,,,,,,,Firm founded 2024 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q140078138,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at https://blanckcapital.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
fundus-heritage,Fundus Heritage,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q140353741 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Monte Carlo,,Monaco,fundusheritage.com,https://fundusheritage.com/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q140353741,"Wikidata SPARQL, item Q140353741",No reachable contact,,,,,,,,,,,Firm founded 1830 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q140353741,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Website domain guess: tried ['fundusheritage.com', 'fundusheritage.net', 'fundusheritage.org']; fetched 1 page(s) at https://fundusheritage.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
rahul-guhathakurta-huf-office,Rahul Guhathakurta HUF Office,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q131467299 wdt:P31/wdt:P279* wd:Q751314.,Rahul Guhathakurta HUF Office,https://www.rghuf.com,Medium,Rahul Guhathakurta HUF Office | LinkedIn Agree & Join LinkedIn By clicking Continue to jo,,,Could not verify,,,,,Could not verify,Ahmedabad, Maharastra,India,www.rghuf.com,https://www.rghuf.com,,2026-07-26,uhathakurta HUF Office D‑U‑N‑S® Number: 76-636-2699 Website guhathakurta.com/huf External link for Rahul Guhathakurta HUF Office Industr,,,,Wikidata,http://www.wikidata.org/entity/Q131467299,"Wikidata SPARQL, item Q131467299",No reachable contact,,,,,,,,,,,Firm founded 2022 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q131467299,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 1 page(s) at https://www.rghuf.com, LLM extraction filled: description, firm_email, hq_state. Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
builders-vision,Builders Vision,Yes,Subtype unconfirmed,"No affirmative single- or multi-family language found in available source text. A family surname in the entity's own name is not, by itself, evidence of SFO status.",A,Wikidata instance/subclass-of claim: entity is classified under 'family office' (Q751314). SPARQL claim: http://www.wikidata.org/entity/Q137455497 wdt:P31/wdt:P279* wd:Q751314.,,,Could not verify,,,,Could not verify,,,,,Could not verify,Chicago,,United States,www.buildersvision.com,https://www.buildersvision.com/,,,,,,,Wikidata,http://www.wikidata.org/entity/Q137455497,"Wikidata SPARQL, item Q137455497","Named principal, no contact",Lukas Walton,Chief Executive Officer (Wikidata P169),,,,,,,,,Firm founded 2021 (Wikidata P571 inception claim),http://www.wikidata.org/entity/Q137455497,,,"Enriched from a Wikidata item's structured claims only (deterministic, no LLM). Description/investment thesis/sectors/AUM/contact and SFO-vs-MFO subtype all require a second enrichment pass (firm website / press) — this record qualifies for the dataset (confirmed family office, Evidence Class A) but its subtype and most fields remain unverified beyond that. Using known website (already on file, not guessed): fetched 2 page(s) at https://www.buildersvision.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Second-pass Wikidata enrichment (2026-07-26): CEO/founder name+title (P169/P112) and founding-year signal (P571), where present, sourced to the Wikidata entity URL itself (structured claim, Evidence Class A) — not a Wikipedia article; this QID has no English Wikipedia sitelink at all (checked directly), so no article description/dated event was available. P2403 (total assets), P2139 (revenue), and P1128 (employees) were queried and confirmed absent for this item — left blank, not inferred."
